JobId,MatchedJobs,OtherSuggested,Date,datepart,month,year
3483411,2058,5891,20-06-2015,20,06,2015
3557233,105,369,04-07-2015,04,07,2015
3546171,875,2,02-07-2015,02,07,2015
3709301,0,0,30-07-2015,30,07,2015
3709301,0,0,01-08-2015,01,08,2015
3630313,56,12994,16-07-2015,16,07,2015
3668549,17,5,23-07-2015,23,07,2015
3668549,17,4,25-07-2015,25,07,2015
3706459,1518,879,30-07-2015,30,07,2015
3706459,1539,308,01-08-2015,01,08,2015
3629327,0,0,16-07-2015,16,07,2015
3539631,677,1028,02-07-2015,02,07,2015
3690591,897,555,28-07-2015,28,07,2015
3690591,907,24,30-07-2015,30,07,2015
3656843,867,938,21-07-2015,21,07,2015
3656843,870,46,23-07-2015,23,07,2015
3635551,1802,405,16-07-2015,16,07,2015
3635551,1838,233,18-07-2015,18,07,2015
3461999,0,0,13-06-2015,13,06,2015
3485321,1770,916,20-06-2015,20,06,2015
3612387,957,573,11-07-2015,11,07,2015
3628703,0,0,16-07-2015,16,07,2015
3586911,71,8,09-07-2015,09,07,2015
3686019,1853,2980,25-07-2015,25,07,2015
3200131,275,25769,23-04-2015,23,04,2015
3581459,254,9020,07-07-2015,07,07,2015
3581459,268,253,09-07-2015,09,07,2015
3582175,405,6118,07-07-2015,07,07,2015
3582175,408,500,09-07-2015,09,07,2015
3299115,14,2669,12-05-2015,12,05,2015
3205753,0,0,23-04-2015,23,04,2015
3205753,14,643,25-04-2015,25,04,2015
3708347,147,21237,30-07-2015,30,07,2015
3708347,148,379,01-08-2015,01,08,2015
3404377,67,1505,02-06-2015,02,06,2015
3567787,2540,10510,04-07-2015,04,07,2015
3541501,1384,85,02-07-2015,02,07,2015
3168735,0,1,18-04-2015,18,04,2015
3669733,222,8490,23-07-2015,23,07,2015
3669733,217,230,25-07-2015,25,07,2015
3492197,0,0,20-06-2015,20,06,2015
3650473,1263,17082,18-07-2015,18,07,2015
3573913,11875,7568,07-07-2015,07,07,2015
3665905,3874,768,23-07-2015,23,07,2015
3697391,1408,0,30-07-2015,30,07,2015
3269841,3337,1507,07-05-2015,07,05,2015
3633823,0,0,16-07-2015,16,07,2015
3633823,411,6146,18-07-2015,18,07,2015
